Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE72089,"Validation of THS-seq method, and comparison of published ENCODE DNase-seq data, self-generated ATAC-seq data and published ATAC-seq data, and THS-seq data for quantitation of chromatin accessibility.","Third-party reanalysis;Other;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",11,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72089/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA293169",26846207,SRP062540,"Kun Zhang","Jan 09, 2016"
GSE63284,"Response and resistance to BET bromodomain inhibitors in triple negative breast cancer [Chem-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63284/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA267196",26735014,SRP049808,"Kornelia Polyak","Jan 07, 2016"
GSE63581,"Response and resistance to BET bromodomain inhibitors in triple negative breast cancer [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",35,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63581/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA268319",26735014,SRP050192,"Kornelia Polyak","Jan 07, 2016"
GSE63584,"Response and resistance to BET bromodomain inhibitors in triple negative breast cancer","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",65,,"WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63584/suppl",26735014,,"Kornelia Polyak","Jan 07, 2016"
GSE74709,"Differential contribution of cis-regulatory elements to higher order chromatin structure and expression of the CFTR locus","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74709/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA301216",26673704,SRP065832,"Ann Harris","Jan 07, 2016"
GSE75528,"Subtelomeric p53 Binding Prevents Accumulation of DNA Damage at Human Telomeres","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",5,,"BEDGRAPH;BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75528/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA304475",26658110,SRP066824,"Priyankara J Wickramasinghe","Jan 07, 2016"
GSE76618,"Antibody performance in ChIP-sequencing assays: From quality scores of public datasets to quantitative certification","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",28,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76618/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA308201",,SRP068195,"Marco Antonio Mendoza-Parra","Jan 07, 2016"
GSE69739,"Genome-wide binding profiles of an artificial zinc finger protein with or without a KLF3 functional domain","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69739/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA286306",26673701,SRP059328,"WOOI FANG LIM","Jan 05, 2016"
GSE71909,"Bromodomain inhibition of the transcriptional coactivators CBP/EP300 as a therapeutic strategy to target the IRF4 network in multiple myeloma (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"TDF;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71909/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA292437",26731516,SRP062237,"Barbara M Bryant","Jan 05, 2016"
GSE71911,"Bromodomain inhibition of the transcriptional coactivators CBP/EP300 as a therapeutic strategy to target the IRF4 network in multiple myeloma","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",21,,"TDF;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71911/suppl",26731516,,"Barbara M Bryant","Jan 05, 2016"
GSE76166,"EBNA3 proteins regulate EBNA2 binding to distinct RBPJ genomic sites","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76166/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA306509",26719268,SRP067581,"Eric Johannsen","Jan 05, 2016"
GSE64642,"SIRT6 regulates redox homeostasis in human mesenchymal stem cells by the transactivation of NRF2","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64642/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA271533",,SRP051674,"xiaomeng liu","Jan 04, 2016"
GSE70001,"Ubiquitin-dependent turnover of MYC promotes loading of the PAF complex on RNA Polymerase II to drive transcriptional elongation (ChIP-seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",31,,"BEDGRAPH;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70001/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA287452",26687678,SRP059644,"Martin Eilers","Jan 04, 2016"
GSE70009,"Ubiquitin-dependent turnover of MYC promotes loading of the PAF complex on RNA Polymerase II to drive transcriptional elongation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",78,,"BEDGRAPH;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70009/suppl",26687678,,"Martin Eilers","Jan 04, 2016"
GSE74850,"Effects of dynamic cytosine methylation on alternative pre-mRNA splicing in T lymphocytes","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",14,,"BED;BW;FPKM_TRACKING;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74850/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA301681",26711177,SRP065988,"David Sturgill","Jan 04, 2016"
GSE63257,"Subtype Specific Addiction of the Activated B Cell Subset of Diffuse Large B Cell Lymphoma to FOXP1","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63257/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA267114",26787899,SRP049768,"Vishy Iyer","Jan 03, 2016"
GSE63634,"Epigenomic landscape during organ formation in human early embryos","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",36,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63634/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA268504",26719341,SRP050260,"Hongshan Guo","Jan 03, 2016"
GSE69297,"FAIRE-seq 1,25(OH)2D3 time course in THP-1 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"TDF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69297/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA285102",26715761,SRP058778,"Carsten Carlberg","Jan 02, 2016"
GSE69962,"CTCF ChIP-seq in human monocytic THP-1 cells with replicates (4)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"TDF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69962/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA287278",26715761;27569350,SRP059606,"Carsten Carlberg","Jan 02, 2016"
GSE51929,"Dual roles of RNF2 in melanoma progression [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51929/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA229782",26450788,SRP033280,"Kadir Caner Akdemir","Jan 01, 2016"
GSE51930,"Dual roles of RNF2 in melanoma progression","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"CEL;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51930/suppl",26450788,,"Kadir Caner Akdemir","Jan 01, 2016"
GSE69303,"1,25(OH)2D3 time course in THP-1 cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",35,,"TDF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69303/suppl",26715761,,"Carsten Carlberg","Jan 01, 2016"
GSE70686,"ChIP-seq of circadian transcription factors in MLL-AF9 leukemia cell lines","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"BW;GFF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70686/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA289353",27058663,SRP060606,"Carl G de Boer","Jan 01, 2016"
GSE53215,"Genome-wide profiling of histone H3 lysine 27 and lysine 4 trimethylation in multiple myeloma reveals the importance of Polycomb gene targeting and highlights EZH2 as a potential therapeutic target [Seq]","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",16,,"BED;TAB;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53215/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA231147",26755663,SRP033702,"Prasoon Agarwal","Dec 31, 2015"
GSE60517,"Drug specific epigenetic reprogramming leads to increased cellular invasion in ERα positive breast cancer via de novo cholesterol biosynthesis.","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60517/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA259193",26610607,SRP045706,"Luca Magnani","Dec 31, 2015"
GSE68416,"BMAL1 Activates Clock Gene Expression by Regulating Transcription Initiation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",27,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68416/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA282679",,SRP057814,"xiong will wei","Dec 31, 2015"
GSE69253,"Genome-wide profiling of histone H3 lysine 27 and lysine 4 trimethylation in multiple myeloma reveals the importance of Polycomb gene targeting and highlights EZH2 as a potential therapeutic target","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"BED;CEL;TAB","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69253/suppl",26755663,,"Prasoon Agarwal","Dec 31, 2015"
GSE70098,"The histone H3 lysine 4 presenter WDR5 induces N-Myc target gene transcription and promotes neuroblastoma [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70098/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA287646",,SRP059731,"Tao Liu","Dec 31, 2015"
GSE70099,"The histone H3 lysine 4 presenter WDR5 induces N-Myc target gene transcription and promotes neuroblastoma","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70099/suppl",,,"Tao Liu","Dec 31, 2015"
GSE73379,"SMN and Symmetric Arginine Dimethylation of RNAP II CTD Control Termination","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"PDF;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73379/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA296828",26700805,SRP064144,"Ulrich Braunschweig","Dec 31, 2015"
GSE73602,"Mdm2 enhances stemness-promoting chromatin modifications through the Polycomb Repressor Complex 2 in a p53-Independent Manner","Expression profiling by array;Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",43,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73602/suppl",,,"Magdalena Wienken","Dec 31, 2015"
GSE71447,"Cell cycle-dependent resolution of DNA double-strand breaks repair","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71447/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA291218",26700820,SRP061703,"Stefano Amente","Dec 30, 2015"
GSE55502,"Unique cell cycle-dependent variations in the pluripotent epigenetic landscape define novel cohorts of temporal expressed bivalent genes during hESCs differentiation","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",24,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55502/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA239803",26644406,SRP039346,"Troy W. Whitfield","Dec 23, 2015"
GSE70991,"Insulator dysfunction and oncogene activation in IDH mutant gliomas","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",33,,"TDF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70991/suppl",26700815,,"Yotam N Drier","Dec 23, 2015"
GSE76268,"Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",23,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76268/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA306754",26977395,SRP067701,"Paul Wang","Dec 23, 2015"
GSE63209,"Identification of glucocorticoid receptor (GR) binding sites in multiple myeloma","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63209/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA266993",26715915,SRP049725,"Nancy Krett","Dec 22, 2015"
GSE64652,"Proteogenomics analysis reveals specific genomic orientations at distal regulatory regions composed by non-canonical histone variants","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64652/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA271569",25878728,SRP051687,"Kyoung Jae Won","Dec 22, 2015"
GSE76116,"ChIP-seq analysis of MBD3 in human breast cancer cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76116/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA306261",26981404,SRP067510,"Takashi Shimbo","Dec 21, 2015"
GSE76141,"Genome-wide mapping of retinoblastoma (Rb) binding sites in prostate cancer cell lines VCaP and LNCaP","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76141/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA306425",27760327,SRP067555,"Dong Han","Dec 19, 2015"
GSE73742,"EP400 Deposits H3.3 into Promoters and Enhancers During Gene Activation","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",19,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73742/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA297795",26669263,SRP064481,"Siavash K Kurdistani","Dec 18, 2015"
GSE76181,"Models of Human Core Transcriptional Regulatory Circuitries","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76181/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA306531",26843070,SRP067592,"Richard A Young","Dec 18, 2015"
GSE61878,"Genome wide binding of glucocorticoid receptor in dexamethasone treated human monocyte derived macrophages","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61878/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA262586",26663721,SRP048473,"Alasdair W Jubb","Dec 17, 2015"
GSE61881,"Divergent transcriptional activation by glucocorticoids in mouse and human macrophages is the result of gain and loss of enhancers","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",52,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61881/suppl",26663721,,"Alasdair W Jubb","Dec 17, 2015"
GSE71196,"Identification and characterization of MCF01A circular RNAs [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1,,"TSV;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71196/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA290558",26657629,SRP061406,"Yehoshua Enuka","Dec 17, 2015"
GSE71197,"Identification and characterization of MCF01A circular RNAs","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71197/suppl",26657629,,"Yehoshua Enuka","Dec 17, 2015"
GSE74812,"MLL-rearranged acute lymphoblastic leukemias upregulate BCL-2 through H3K79 methylation and are highly sensitive to the BCL-2 specific antagonist ABT-199","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",14,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74812/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA301600",26711339,SRP065960,"Thomas Milne","Dec 17, 2015"
GSE67867,"Competition between DNA methylation and transcription factors determines binding of NRF1","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens;Mus musculus",48,,"BW;TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67867/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA281090",26675734,SRP057157,"Anais Flore Bardet","Dec 16, 2015"
GSE73887,"Identification of MEF2B, EBF1, and IL6R as chromosome bound targets of EBNA1 essential for EBV infected B-lymphocyte survival","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73887/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA298334",26468528,SRP064652,"Priyankara J Wickramasinghe","Dec 16, 2015"
GSE75503,"Combinatorial Control of RBP-jk and EBF1 Chromosome Occupancy induced by viral co-activator EBNA2 [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75503/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA304435",,SRP066803,"Priyankara J Wickramasinghe","Dec 16, 2015"
GSE75504,"Combinatorial Control of RBP-jk and EBF1 Chromosome Occupancy induced by viral co-activator EBNA2","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75504/suppl",,,"Priyankara J Wickramasinghe","Dec 16, 2015"
GSE68952,"H3K4me3 modification profiling of Huntingtons disease and control human post-mortem prefrontal cortex brain samples","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68952/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA284153",26636336,SRP058390,"Lawrence M Schwartz","Dec 14, 2015"
GSE75779,"Genomic binding profiles of ERa in MCF-7 and T47D control or enhancer588-targeted cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75779/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA305318",26751173,SRP067097,"Ran Elkon","Dec 14, 2015"
GSE73320,"P21-activated kinase group II small compound inhibitor GNE-2861 perturbs estrogen receptor alpha signaling and restores tamoxifen-sensitivity in breast cancer cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73320/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA296591",26554417,SRP063987,"Karin Dahlman-Wright","Dec 12, 2015"
GSE51868,"HEK293 cells (HEK293-CT) and HEK293 cells stably over-expressing the BAHD1 gene (HEK-BAHD1)","Expression profiling by array;Methylation profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",30,,"BEDGRAPH;CEL;TXT;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51868/suppl",26938916,,"Helene Bierne","Dec 11, 2015"
GSE53372,"Chromatin immunoprecipitation-sequencing of HEK293 cells (HEK293-HPT-blue) and HEK293 cells stably over-expressing the BAHD1 gene (HEK293-HPT-BAHD1)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53372/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA231861",26648976,SRP034529,"Helene Bierne","Dec 11, 2015"
GSE58680,"Super-Enhancer-mediated Control of Liver Fibrosis by BET Bromodomain Proteins","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",12,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58680/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA253142",26644586,SRP043435,"Ruth T Yu","Dec 11, 2015"
GSE62171,"RNA Polymerase II-associated factor 1 regulates the release and phosphorylation of paused RNA Polymerase II","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",32,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62171/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA263366",26659056,SRP048744,"Robert Roeder","Dec 11, 2015"
GSE66956,"Genome-wide analysis reveals NRP1 as a critical HIF1-E2F7 target gene in the regulation of motorneuron guidance in vivo","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"COD;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66956/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA278464",26681691,SRP056218,"Michal Mokry","Dec 11, 2015"
GSE75791,"Assessment of functional overlap between mouse Dux and human DUX4 in vitro and in vivo","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75791/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA305358",28173143,SRP067117,"Scott Q Harper","Dec 11, 2015"
GSE75903,"H3K27me3 histone modification in A549 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75903/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA305653",28053124,SRP067242,"Isabelle Janoueix-Lerosey","Dec 11, 2015"
GSE67633,"Epigenetic determinants of self-renewal in glioblastoma [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",12,,"NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67633/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA280596",26626085,SRP056968,"Alexander James Murison","Dec 08, 2015"
GSE64528,"Assembly of methylated LSD1 and CHD1 drives AR-dependent transcription and translocation [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",11,,"BED;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64528/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA271256",26751641,SRP051582,"Eric Metzger","Dec 07, 2015"
GSE64530,"Assembly of methylated LSD1 and CHD1 drives AR-dependent transcription and translocation","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",17,,"BED;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64530/suppl",26751641,,"Eric Metzger","Dec 07, 2015"
GSE68349,"ChIPseq analyses in germinal center B cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BEDGRAPH;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68349/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA282492",26620759,SRP057752,"Riccardo Dalla-Favera","Dec 04, 2015"
GSE74426,"Obesity and Bariatric Surgery Drive Epigenetic Variation of Spermatozoa in Humans","Non-coding RNA profiling by high throughput sequencing;Methylation profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",77,,"BED;CSV;XLS;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74426/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA300398",26669700,SRP065418,"Lars Roed Ingerslev","Dec 04, 2015"
