Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE108347,"Genome-wide analysis of cell cycle-specific SF3B1-chromatin interactions and its effect on RNA splicing","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"BW;DIFF;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108347/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA423248",29764937,SRP127254,"MANOJ PILLAI","May 15, 2018"
GSE114385,"A somatically acquired enhancer of the androgen receptor is a noncoding driver in advanced prostate cancer","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",33,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114385/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA471255",,SRP145590,"Matthew Freedman","May 15, 2018"
GSE114397,"Single cell RNA-seq and ATAC-seq of EMT induced by TGFbeta stimulation and Zeb1 overexpression","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"TSV;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114397/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA471293",29961576,SRP145597,"David van Dijk","May 15, 2018"
GSE114391,"SWI/SNF remains localized to chromatin in the presence of SCHLAP1 (ATAC-seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114391/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA471289",,SRP145600,"Jesse Raab","May 14, 2018"
GSE114392,"SWI/SNF remains localized to chromatin in the presence of SCHLAP1 (ChIP-seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",24,,"BW;CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114392/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA471288",,SRP145601,"Jesse Raab","May 14, 2018"
GSE114393,"SWI/SNF remains localized to chromatin in the presence of SCHLAP1 (RIP-seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",15,,"BW;TSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114393/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA471291",,SRP145602,"Jesse Raab","May 14, 2018"
GSE114394,"SWI/SNF remains localized to chromatin in the presence of SCHLAP1","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",45,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114394/suppl",,,"Jesse Raab","May 14, 2018"
GSE114241,"Genome-wide occupancy of FLAG-ERG and FLAG-EHF in RWPE1 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114241/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA470652",30315111,SRP145081,"Kathleen Clark","May 10, 2018"
GSE114200,"ATAC-seq from A549 (ENCSR074AHH)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114200/suppl",22955616,,"ENCODE DCC","May 09, 2018"
GSE114201,"ATAC-seq from A549 (ENCSR139OYS)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114201/suppl",22955616,,"ENCODE DCC","May 09, 2018"
GSE114202,"ATAC-seq from A549 (ENCSR220ASC)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114202/suppl",22955616,,"ENCODE DCC","May 09, 2018"
GSE114204,"ATAC-seq from A549 (ENCSR265ZXX)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114204/suppl",22955616,,"ENCODE DCC","May 09, 2018"
GSE114205,"ATAC-seq from A549 (ENCSR288YMH)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114205/suppl",22955616,,"ENCODE DCC","May 09, 2018"
GSE109383,"Different Chromatin and DNA Sequence Characteristics Define Glucocorticoid Receptor Binding Sites that are Blocked or Not Blocked by Coregulator Hic-5 [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",18,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109383/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA430719",29738565,SRP131064,"Brian Hae Kang Lee","May 08, 2018"
GSE109589,"Different Chromatin and DNA Sequence Characteristics Define Glucocorticoid Receptor Binding Sites that are Blocked or Not Blocked by Coregulator Hic-5 [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",8,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109589/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA431440",29738565,SRP131275,"Brian Hae Kang Lee","May 08, 2018"
GSE109590,"Different Chromatin and DNA Sequence Characteristics Define Glucocorticoid Receptor Binding Sites that are Blocked or Not Blocked by Coregulator Hic-5","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",26,,,,29738565,,"Brian Hae Kang Lee","May 08, 2018"
GSE101571,"Analysis of chromatin landscapes in early human development reveals epigenetic transition during ZGA","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",55,,"BED;TXT;WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101571/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA394846",29720659,SRP112718,"Wei Xie","May 03, 2018"
GSE88734,"Cooptation of tandem DNA repeats for the control of epithelial-to-mesenchymal transition [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",9,,"NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88734/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA348428",29706544,SRP091543,"Chiara Balestrieri","May 02, 2018"
GSE88738,"Cooptation of tandem DNA repeats for the control of epithelial-to-mesenchymal transition.","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing","Homo sapiens",20,,"NARROWPEAK","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88738/suppl",29706544,,"Chiara Balestrieri","May 02, 2018"
GSE101789,"CBFb-SMMHC inhibition triggers apoptosis by disrupting MYC chromatin dynamics in acute myeloid leukemia [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BW;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101789/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA395543",29958106,SRP113443,"Lucio Castilla","May 02, 2018"
GSE101790,"CBFb-SMMHC inhibition triggers apoptosis by disrupting MYC chromatin dynamics in acute myeloid leukemia [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BW;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101790/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA395542",29958106,SRP113444,"Lucio Castilla","May 02, 2018"
GSE101791,"CBFb-SMMHC inhibition triggers apoptosis by disrupting MYC chromatin dynamics in acute myeloid leukemia","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",20,,"BW;NARROWPEAK;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101791/suppl",29958106,,"Lucio Castilla","May 02, 2018"
GSE107719,"ZNF341 controls STAT3 expression and thereby immunocompetence","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BEDGRAPH;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107719/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA421196",29907690,SRP126187,"Claudia Bossen","May 02, 2018"
GSE87767,"mRNA cap methyltransferase, RNMT-RAM, promotes RNA pol II transcription","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",20,,"BIGWIG;CSV;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87767/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA347477",29719263,SRP091113,"Dhaval Varshney","May 01, 2018"
GSE98119,"The energetics and physiological impact of cohesin extrusion","Other;Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens;Mus musculus",352,,"BED;BEDGRAPH;BW;HIC;NARROWPEAK;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98119/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA384026",29706548,SRP105082,"Seolkyoung Jung","May 01, 2018"
GSE111072,"Genome-wide maps of TBX1 state in transfected BCPAP cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111072/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA435749",,SRP133399,"wang na","May 01, 2018"
GSE112291,"Genome wide enrichment/association of Pygo2 with chromatin in unsynchronized HelaS3 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112291/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA445482",29719262,SRP136366,"Phillip Andrews","May 01, 2018"
GSE113497,"Genome-wide maps of Nrf2 and Pol2 binding in A549 cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",4,,"BW;XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113497/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA451354",,SRP142109,"Yonglun Luo","May 01, 2018"
GSE113522,"Nrf2 regulated genes in A549 cells","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",10,,"BW","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113522/suppl",,,"Yonglun Luo","May 01, 2018"
GSE100400,"Episomal HBV persistence within transcribed host nuclear chromatin compartments involves HBx","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens;Mus musculus",31,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100400/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391572",29933745,SRP110232,"Jan Postberg","Apr 30, 2018"
GSE102697,"C/EBPα overexpression overrides epigenetic reprogramming by RUNX1-ETO and RUNX1-EVI1 [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",16,,"WIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102697/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA398533",,SRP115568,"Salam Adli Assi","Apr 30, 2018"
GSE102742,"C/EBPα overexpression overrides epigenetic reprogramming by RUNX1-ETO and RUNX1-EVI1","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",32,,"BEDGRAPH;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102742/suppl",,,"Salam Adli Assi","Apr 30, 2018"
GSE103947,"Fusion partner directed chromatin occupancy drives the transcriptome heterogeneity of MLL-fusion acute lymphoblastic leukemia","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",1,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103947/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA407757",,SRP117904,"Salam Adli Assi","Apr 30, 2018"
GSE112654,"Comprehensive Epigenetic Landscape of Rheumatoid Arthritis Fibroblast-like Synoviocytes [ATAC-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112654/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA448631",29765031,SRP137032,"Gary S Firestein","Apr 30, 2018"
GSE112655,"Comprehensive Epigenetic Landscape of Rheumatoid Arthritis Fibroblast-like Synoviocytes [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",152,,"BROADPEAK;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112655/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA448632",29765031,SRP137040,"Gary S Firestein","Apr 30, 2018"
GSE112658,"Comprehensive Epigenetic Landscape of Rheumatoid Arthritis Fibroblast-like Synoviocytes","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing;Methylation profiling by high throughput sequencing","Homo sapiens",213,,"BED;BROADPEAK;NARROWPEAK;TSV","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112658/suppl",29765031,,"Gary S Firestein","Apr 30, 2018"
GSE95511,"The basic helix-loop-helix transcription factor SHARP1 is an oncogenic driver in MLL-AF6 Acute Myelogenous Leukemia","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",23,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95511/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA377303",29692408,SRP100854,"Jia Li","Apr 26, 2018"
GSE96710,"Epigenomic conservation of transposable element silencing [ChIP-seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Pan troglodytes",34,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96710/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA379444",29648536,SRP102014,"Michelle C Ward","Apr 26, 2018"
GSE96769,"Single-cell epigenomics maps the continuous regulatory landscape of human hematopoietic differentiation [scATAC-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",2784,,"BED;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96769/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA379613",29706549,SRP102089,"Jason Daniel Buenrostro","Apr 26, 2018"
GSE96771,"Single-cell epigenomics maps the continuous regulatory landscape of human hematopoietic differentiation [bulk ATAC-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",13,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96771/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA379614",29706549,SRP102090,"Jason Daniel Buenrostro","Apr 26, 2018"
GSE96772,"Single-cell epigenomics maps the continuous regulatory landscape of human hematopoietic differentiation","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens",2805,,,,29706549,,"Jason Daniel Buenrostro","Apr 26, 2018"
GSE110389,"Histone H3.3 G34 mutations alter histone H3K36 and H3K27 methylation in cis","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",22,,"BW;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110389/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA433584",29689253,SRP132532,"Jiejun Shi","Apr 26, 2018"
GSE113642,"Reprogrammed marrow adipocytes: an unexpected role in the genesis of myeloma-induced bone disease (ChIP-Seq)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",6,,"BIGWIG;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113642/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA453494",,SRP142596,"Jing Yang","Apr 26, 2018"
GSE96712,"Epigenomic conservation of transposable element silencing","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing","Homo sapiens;Pan troglodytes",51,,,,29648536,,"Michelle C Ward","Apr 25, 2018"
GSE98245,"Topological demarcation by HMGB2 is disrupted early upon senescence entry and induces CTCF clustering across cell types [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",7,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98245/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA384392",29706538,SRP105278,"Milos Nikolic","Apr 25, 2018"
GSE98448,"Topological demarcation by HMGB2 is disrupted early upon senescence entry and induces CTCF clustering across cell types","Genome binding/occupancy profiling by high throughput sequencing;Expression profiling by high throughput sequencing;Other","Homo sapiens",53,,"BEDPE;MTX;TSV;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98448/suppl",29706538,,"Milos Nikolic","Apr 25, 2018"
GSE101074,"TFAP2C regulates transcription in human naive pluripotency by opening enhancers","Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens;Mus musculus",109,,"BW;TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101074/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA393683",29695788,SRP111459,"William Abraham Pastor","Apr 25, 2018"
GSE103588,"NOTCH-mediated non-cell autonomous regulation of chromatin structure during senescence [ATAC-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",24,,"BEDGRAPH;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103588/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA402015",29743479,SRP117024,"Shamith Samarajiwa","Apr 24, 2018"
GSE103589,"NOTCH-mediated non-cell autonomous regulation of chromatin structure during senescence [ChIP-Seq]","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",32,,"BEDGRAPH;NARROWPEAK;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103589/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA402016",29743479,SRP117023,"Shamith Samarajiwa","Apr 24, 2018"
GSE103590,"NOTCH-mediated non-cell autonomous regulation of chromatin structure during senescence","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",80,,"BEDGRAPH;NARROWPEAK;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103590/suppl",29743479,,"Shamith Samarajiwa","Apr 24, 2018"
GSE94577,"Genome wide analysis of androgen-receptor binding sites and associated factors in prostate cancer cells","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",32,,"BED;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94577/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA371492",29686105,SRP098935,"Ken-ichi Takayama","Apr 23, 2018"
GSE113441,"ChIP-seq from A549 (ENCSR150EFU)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113441/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113442,"ChIP-seq from A549 (ENCSR193NSH)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113442/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113443,"ChIP-seq from A549 (ENCSR199XBQ)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113443/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113444,"ChIP-seq from A549 (ENCSR217ELF)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113444/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113445,"ChIP-seq from A549 (ENCSR247LSH)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113445/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113446,"ChIP-seq from A549 (ENCSR330ELC)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113446/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113447,"ChIP-seq from A549 (ENCSR335RKQ)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113447/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113448,"ChIP-seq from A549 (ENCSR495WGO)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113448/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113449,"ChIP-seq from A549 (ENCSR501LQA)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113449/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113450,"ChIP-seq from A549 (ENCSR537EFT)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113450/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113451,"ChIP-seq from A549 (ENCSR620NWG)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113451/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113452,"ChIP-seq from A549 (ENCSR676MJK)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113452/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113453,"ChIP-seq from A549 (ENCSR748MVX)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113453/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113454,"ChIP-seq from A549 (ENCSR760NPX)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113454/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113455,"ChIP-seq from A549 (ENCSR767DFK)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113455/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113456,"ChIP-seq from A549 (ENCSR768DOX)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113456/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113457,"ChIP-seq from A549 (ENCSR806UKK)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113457/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113458,"ChIP-seq from A549 (ENCSR807WAC)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113458/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113459,"ChIP-seq from A549 (ENCSR853VWZ)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113459/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113460,"ChIP-seq from A549 (ENCSR895JMI)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113460/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113461,"ChIP-seq from A549 (ENCSR944ZCT)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113461/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113462,"ChIP-seq from A549 (ENCSR956LGB)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113462/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
GSE113463,"ChIP-seq from A549 (ENCSR981FDC)","Genome binding/occupancy profiling by high throughput sequencing","Homo sapiens",3,,"BED;BIGBED;BIGWIG;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113463/suppl",22955616,,"ENCODE DCC","Apr 20, 2018"
